track,arm,seed,emb_dim,norm_type,message_relu,runtime_s,gpu_mem_mb,node,git_sha,normalize_nodes,stage,readout,dim,auc,auc_ci_lo,auc_ci_hi,auprc,acc,bal_acc,sens,spec,ppv,npv,f1,mcc,brier,calib_slope,calib_intercept,retention_ratio,fc_recon_r2,frac_edges_r2_gt_0p5,site_f1,age_r2,sex_r2,motion_r2,meanfc_r2,totalfc_r2,auc_loso,fold_auc_sd
T1,A,20260818,32,bn,True,14.1,,node10.cognition.gla.alces.network,3047cf7,True,S0,node_flat,270,0.6314519148186484,0.5975427251311678,0.6656452834367012,0.5906747956499525,0.6048218029350105,0.6004426435288159,0.5054945054945055,0.6953907815631263,0.6020942408376964,0.6066433566433567,0.5495818399044206,0.20477380738195428,0.23846807180124036,0.792319460186146,-0.02426467603423357,0.5298942714852595,0.1891655190364679,0.0,0.6579610093150046,0.30703655845684574,0.03171953002331784,0.24075191047376732,0.44864886385689384,0.44337432767732,0.6061926049902002,0.021033008757406116
T1,A,20260818,32,bn,True,30.8,,node10.cognition.gla.alces.network,3047cf7,True,S1,node_flat,270,0.6398158955273183,0.6022484422521226,0.6738332066750831,0.5960856232916432,0.6027253668763103,0.5990200180580942,0.5186813186813187,0.6793587174348698,0.5959595959595959,0.6075268817204301,0.554641598119859,0.200744786704184,0.23519952726019858,0.9927407927054861,0.006241432500873886,0.5636102159844466,0.5019832491368853,0.5380774032459426,0.40649125674805076,0.2404281056626234,0.029583269340249796,0.24265206150495688,0.8108345996738999,0.8091985754686482,0.6045321412054879,0.04513961613425377
T1,A,20260818,32,bn,True,109.0,2727.3,node10.cognition.gla.alces.network,3047cf7,True,S2,node_flat,2880,0.5947191085467639,0.5583023825381137,0.6295086424765932,0.5616128290021365,0.559748427672956,0.5569688828205862,0.4967032967032967,0.6172344689378757,0.5419664268585132,0.5735567970204841,0.518348623853211,0.11472775605073908,0.249903807813761,0.41810771835213667,-0.042553449738400036,0.3818210871128393,0.48825813852923466,0.4679151061173533,0.3494387319179316,0.1942915664194107,-0.04323983139618859,0.2023010380739496,0.8222935280234948,0.8410689129151462,0.5842894580369531,0.04170591587341809
T1,A,20260818,32,bn,True,109.0,2727.3,node10.cognition.gla.alces.network,3047cf7,True,S3,node_flat,2880,0.5695214605034244,0.5333049382971238,0.605638915601879,0.5415418162285419,0.5471698113207547,0.5440727609064282,0.47692307692307695,0.6112224448897795,0.5279805352798054,0.5616942909760589,0.5011547344110855,0.08890688586268446,0.2811364929875256,0.10403080979600961,-0.07975368839734676,0.2802471437321899,0.3622297347151849,0.008239700374531835,0.276078422200029,0.09206425348180358,-0.0016336970075754298,0.16062282481287693,0.7669355094786455,0.7568274224044835,0.5620163403730538,0.05857048171391711
T1,A,20260818,32,bn,True,109.0,2727.3,node10.cognition.gla.alces.network,3047cf7,True,S4,node_flat,2880,0.5808055671783127,0.5444436745503819,0.6155956891425178,0.5344048507924196,0.5628930817610063,0.5600717919355194,0.4989010989010989,0.6212424849699398,0.5456730769230769,0.5762081784386617,0.521239954075775,0.12100930057586706,0.2624491984588264,0.21876844716499375,-0.06483802953103143,0.3257343737516311,0.40127112789760616,0.09313358302122347,0.25772365598282554,0.13396806202638034,-0.014461708073762125,0.1581577716253656,0.8170758859125682,0.8161019862907488,0.5712259684203572,0.046551555547162025
T1,A,20260818,32,bn,True,109.0,2727.3,node10.cognition.gla.alces.network,3047cf7,True,S5,global_add_pool,32,0.47746922416261095,0.4405425581779042,0.5135209045913467,0.4658982135585872,0.48427672955974843,0.47513488515492525,0.27692307692307694,0.6733466933867736,0.4359861591695502,0.5052631578947369,0.3387096774193548,-0.0540526128586413,0.2557644408169815,-0.3088011610736116,-0.1189433604866627,-0.09082354612195612,0.2472526725335082,0.0,0.054985093621928806,-0.0025197425491847447,-0.0017384447208435017,0.11259795771005843,0.7882859231273709,0.7969972479515528,0.48403400207007424,0.04609713197287221
T1,A,20260818,32,bn,True,109.0,2727.3,node10.cognition.gla.alces.network,3047cf7,True,S6,roi_flatten,2880,0.5808055671783127,0.5444436745503819,0.6155956891425178,0.5344048507924196,0.5628930817610063,0.5600717919355194,0.4989010989010989,0.6212424849699398,0.5456730769230769,0.5762081784386617,0.521239954075775,0.12100930057586706,0.2624491984588264,0.21876844716499375,-0.06483802953103143,0.3257343737516311,0.40127112789760616,0.09313358302122347,0.25772365598282554,0.13396806202638034,-0.014461708073762125,0.1581577716253656,0.8170758859125682,0.8161019862907488,0.5712259684203572,0.046551555547162025
T1,A,20260818,32,bn,True,14.1,,node10.cognition.gla.alces.network,3047cf7,False,S0,node_flat,270,0.6314519148186484,0.5975427251311678,0.6656452834367012,0.5906747956499525,0.6048218029350105,0.6004426435288159,0.5054945054945055,0.6953907815631263,0.6020942408376964,0.6066433566433567,0.5495818399044206,0.20477380738195428,0.23846807180124036,0.792319460186146,-0.02426467603423357,0.5298942714852595,0.1891655190364679,0.0,0.6579610093150046,0.30703655845684574,0.03171953002331784,0.24075191047376732,0.44864886385689384,0.44337432767732,0.6061926049902002,0.021033008757406116
T1,A,20260818,32,bn,True,30.8,,node10.cognition.gla.alces.network,3047cf7,False,S1,node_flat,270,0.6398158955273183,0.6022484422521226,0.6738332066750831,0.5960856232916432,0.6027253668763103,0.5990200180580942,0.5186813186813187,0.6793587174348698,0.5959595959595959,0.6075268817204301,0.554641598119859,0.200744786704184,0.23519952726019858,0.9927407927054861,0.006241432500873886,0.5636102159844466,0.5019832491368853,0.5380774032459426,0.40649125674805076,0.2404281056626234,0.029583269340249796,0.24265206150495688,0.8108345996738999,0.8091985754686482,0.6045321412054879,0.04513961613425377
T1,A,20260818,32,bn,True,109.0,2727.3,node10.cognition.gla.alces.network,3047cf7,False,S2,node_flat,2880,0.5947191085467639,0.5583023825381137,0.6295086424765932,0.5616128290021365,0.559748427672956,0.5569688828205862,0.4967032967032967,0.6172344689378757,0.5419664268585132,0.5735567970204841,0.518348623853211,0.11472775605073908,0.249903807813761,0.41810771835213667,-0.042553449738400036,0.3818210871128393,0.48825813852923466,0.4679151061173533,0.3494387319179316,0.1942915664194107,-0.04323983139618859,0.2023010380739496,0.8222935280234948,0.8410689129151462,0.5842894580369531,0.04170591587341809
T1,A,20260818,32,bn,True,109.0,2727.3,node10.cognition.gla.alces.network,3047cf7,False,S3,node_flat,2880,0.5695214605034244,0.5333049382971238,0.605638915601879,0.5415418162285419,0.5471698113207547,0.5440727609064282,0.47692307692307695,0.6112224448897795,0.5279805352798054,0.5616942909760589,0.5011547344110855,0.08890688586268446,0.2811364929875256,0.10403080979600961,-0.07975368839734676,0.2802471437321899,0.3622297347151849,0.008239700374531835,0.276078422200029,0.09206425348180358,-0.0016336970075754298,0.16062282481287693,0.7669355094786455,0.7568274224044835,0.5620163403730538,0.05857048171391711
T1,A,20260818,32,bn,True,109.0,2727.3,node10.cognition.gla.alces.network,3047cf7,False,S5,global_add_pool,32,0.4988438415292123,0.46168895611317035,0.5361367440364992,0.4781410866525995,0.5146750524109015,0.5046774868418156,0.2879120879120879,0.7214428857715431,0.48518518518518516,0.5263157894736842,0.36137931034482756,0.010372623355247707,0.25715518999236897,-0.10062446148496125,-0.10053725450002848,-0.004660576846254128,0.23605356041693754,0.0,0.04387718855822592,0.0004641216612281118,0.0010713388406837776,0.12195352470417264,0.7552056215822739,0.7443905224005216,0.4999273271818362,0.06324219995293659
